# UMIST 2012, no negative ions, no photoreactions
# Number of Ionization Reactions
3
# List of Ionization Reactions
# R1    R2      P1      P2      P3      P4      ratio
H2    0       H2+     e-      0       0       0.97
H2    0       H+      H       e-      0       0.03
H     0       H+      e-      0       0       0.50
# Number of Gas-phase Reactions
121
# List of Gas-phase Reactions
# type	R1	R2	P1	P2	P3	P4	alpha		beta		gamma		Tmin		Tmax
IN	C+	SO	S	CO+	0	0	2.600000e-10	-5.000000e-01	0.000000e+00	1.000000e+01	4.100000e+04
IN	CH+	O2	HCO	O+	0	0	1.000000e-11	0.000000e+00	0.000000e+00	1.000000e+01	4.100000e+04
IN	CH+	O	CO+	H	0	0	3.500000e-10	0.000000e+00	0.000000e+00	1.000000e+01	4.100000e+04
IN	CH2+	O	HCO+	H	0	0	7.500000e-10	0.000000e+00	0.000000e+00	1.000000e+01	4.100000e+04
IN	CH3+	O	HCO+	H2	0	0	4.000000e-10	0.000000e+00	0.000000e+00	1.000000e+01	4.100000e+04
IN	H2+	O	OH+	H	0	0	1.500000e-09	0.000000e+00	0.000000e+00	1.000000e+01	4.100000e+04
IN	H2	C+	CH+	H	0	0	1.000000e-10	0.000000e+00	4.640000e+03	1.540000e+02	3.000000e+03
IN	H2	CH+	CH2+	H	0	0	1.200000e-09	0.000000e+00	0.000000e+00	1.000000e+01	4.100000e+04
IN	H2	CH2+	CH3+	H	0	0	1.600000e-09	0.000000e+00	0.000000e+00	1.000000e+01	4.100000e+04
IN	H2	CO+	HCO+	H	0	0	7.500000e-10	0.000000e+00	0.000000e+00	1.000000e+01	4.100000e+04
IN	H2	H2O+	H3O+	H	0	0	6.400000e-10	0.000000e+00	0.000000e+00	1.000000e+01	4.100000e+04
IN	H2	O+	OH+	H	0	0	1.700000e-09	0.000000e+00	0.000000e+00	1.000000e+01	4.100000e+04
IN	H2	OH+	H2O+	H	0	0	1.010000e-09	0.000000e+00	0.000000e+00	1.000000e+01	4.100000e+04
IN	H	CH+	C+	H2	0	0	9.060000e-10	-3.700000e-01	2.910000e+01	1.000000e+01	1.000000e+03
IN	H	CH2+	CH+	H2	0	0	1.000000e-09	0.000000e+00	7.080000e+03	2.360000e+02	3.000000e+02
IN	O2	S+	SO+	O	0	0	1.500000e-11	0.000000e+00	0.000000e+00	1.000000e+01	4.100000e+04
IN	O	H2O+	O2+	H2	0	0	4.000000e-11	0.000000e+00	0.000000e+00	1.000000e+01	4.100000e+04
IN	O	OH+	O2+	H	0	0	7.100000e-10	0.000000e+00	0.000000e+00	1.000000e+01	4.100000e+04
IN	OH+	CO	HCO+	O	0	0	1.050000e-09	0.000000e+00	0.000000e+00	1.000000e+01	4.100000e+04
IN	OH	S+	SO+	H	0	0	6.100000e-10	-5.000000e-01	0.000000e+00	1.000000e+01	4.100000e+04
NN	C	O2	CO	O	0	0	5.560000e-11	4.100000e-01	-2.690000e+01	1.000000e+01	8.000000e+03
NN	C	OH	CO	H	0	0	1.000000e-10	0.000000e+00	0.000000e+00	1.000000e+01	3.000000e+02
NN	C	SO	S	CO	0	0	3.500000e-11	0.000000e+00	0.000000e+00	1.000000e+01	3.000000e+02
NN	CH2	O	HCO	H	0	0	5.010000e-11	0.000000e+00	0.000000e+00	1.200000e+03	1.812000e+03
NN	CH3	O	CO	H2	H	0	3.600000e-11	0.000000e+00	2.020000e+02	3.540000e+02	9.250000e+02
NN	CH	O	CO	H	0	0	6.020000e-11	1.000000e-01	-4.500000e+00	1.000000e+01	2.000000e+03
NN	CH	OH	HCO	H	0	0	1.440000e-11	5.000000e-01	5.000000e+03	1.660000e+02	3.000000e+02
NN	H2	C	CH	H	0	0	6.640000e-10	0.000000e+00	1.170000e+04	3.000000e+02	2.500000e+03
NN	H2	CH	CH2	H	0	0	5.460000e-10	0.000000e+00	1.943000e+03	3.000000e+02	2.500000e+03
NN	H2	O	OH	H	0	0	3.140000e-13	2.700000e+00	3.150000e+03	2.970000e+02	3.532000e+03
NN	H2	OH	H2O	H	0	0	2.050000e-12	1.520000e+00	1.736000e+03	2.500000e+02	2.581000e+03
NN	H	CH2	CH	H2	0	0	2.200000e-10	0.000000e+00	0.000000e+00	1.000000e+01	2.500000e+03
NN	H	CH3	CH2	H2	0	0	1.000000e-10	0.000000e+00	7.600000e+03	3.000000e+02	2.500000e+03
NN	H	CH	C	H2	0	0	1.310000e-10	0.000000e+00	8.000000e+01	3.000000e+02	2.000000e+03
NN	H	H2O	OH	H2	0	0	1.590000e-11	1.200000e+00	9.610000e+03	2.500000e+02	3.000000e+03
NN	H	HCO	CO	H2	0	0	1.500000e-10	0.000000e+00	0.000000e+00	2.000000e+02	2.500000e+03
NN	H	O2	OH	O	0	0	2.610000e-10	0.000000e+00	8.156000e+03	2.500000e+02	4.000000e+03
NN	H	OH	O	H2	0	0	6.990000e-14	2.800000e+00	1.950000e+03	3.000000e+02	2.500000e+03
NN	H	SO	S	OH	0	0	5.900000e-10	-3.100000e-01	1.110000e+04	3.700000e+02	4.100000e+04
NN	O2	S	SO	O	0	0	1.760000e-12	8.100000e-01	-3.080000e+01	2.000000e+02	3.460000e+03
NN	O	OH	O2	H	0	0	3.690000e-11	-2.700000e-01	1.290000e+01	1.000000e+01	5.000000e+02
NN	OH	OH	H2O	O	0	0	1.650000e-12	1.140000e+00	5.000000e+01	2.000000e+02	2.500000e+03
NN	OH	S	SO	H	0	0	6.600000e-11	0.000000e+00	0.000000e+00	2.980000e+02	2.980000e+02
PH	C	0	C+	e-	0	0	3.100000e-10	0.000000e+00	3.300000e+00	1.000000e+01	4.100000e+04
PH	CH2	0	CH2+	e-	0	0	1.000000e-09	0.000000e+00	2.300000e+00	1.000000e+01	4.100000e+04
PH	CH2	0	CH	H	0	0	5.800000e-10	0.000000e+00	2.000000e+00	1.000000e+01	4.100000e+04
PH	CH3+	0	CH+	H2	0	0	1.000000e-09	0.000000e+00	1.700000e+00	1.000000e+01	4.100000e+04
PH	CH3+	0	CH2+	H	0	0	1.000000e-09	0.000000e+00	1.700000e+00	1.000000e+01	4.100000e+04
PH	CH3	0	CH2	H	0	0	1.350000e-10	0.000000e+00	2.300000e+00	1.000000e+01	4.100000e+04
PH	CH3	0	CH3+	e-	0	0	1.000000e-10	0.000000e+00	2.100000e+00	1.000000e+01	4.100000e+04
PH	CH3	0	CH	H2	0	0	1.350000e-10	0.000000e+00	2.300000e+00	1.000000e+01	4.100000e+04
PH	CH	0	C	H	0	0	9.200000e-10	0.000000e+00	1.700000e+00	1.000000e+01	4.100000e+04
PH	CH	0	CH+	e-	0	0	7.600000e-10	0.000000e+00	3.300000e+00	1.000000e+01	4.100000e+04
PH	CO	0	O	C	0	0	2.000000e-10	0.000000e+00	3.500000e+00	1.000000e+01	4.100000e+04
PH	H2O	0	H2O+	e-	0	0	3.100000e-11	0.000000e+00	3.900000e+00	1.000000e+01	4.100000e+04
PH	H2O	0	OH	H	0	0	8.000000e-10	0.000000e+00	2.200000e+00	1.000000e+01	4.100000e+04
PH	HCO	0	CO	H	0	0	1.100000e-09	0.000000e+00	1.100000e+00	1.000000e+01	4.100000e+04
PH	HCO	0	HCO+	e-	0	0	5.600000e-10	0.000000e+00	2.100000e+00	1.000000e+01	4.100000e+04
PH	O2+	0	O+	O	0	0	3.500000e-11	0.000000e+00	2.000000e+00	1.000000e+01	4.100000e+04
PH	O2	0	O2+	e-	0	0	7.600000e-11	0.000000e+00	3.900000e+00	1.000000e+01	4.100000e+04
PH	O2	0	O	O	0	0	7.900000e-10	0.000000e+00	2.100000e+00	1.000000e+01	4.100000e+04
PH	OH+	0	O+	H	0	0	1.100000e-11	0.000000e+00	3.500000e+00	1.000000e+01	4.100000e+04
PH	OH	0	O	H	0	0	3.900000e-10	0.000000e+00	2.200000e+00	1.000000e+01	4.100000e+04
PH	OH	0	OH+	e-	0	0	1.600000e-12	0.000000e+00	3.100000e+00	1.000000e+01	4.100000e+04
PH	S	0	S+	e-	0	0	6.000000e-10	0.000000e+00	3.100000e+00	1.000000e+01	4.100000e+04
PH	SO	0	S	O	0	0	4.200000e-09	0.000000e+00	2.400000e+00	1.000000e+01	4.100000e+04
PH	SO	0	SO+	e-	0	0	6.000000e-10	0.000000e+00	2.500000e+00	1.000000e+01	4.100000e+04
RA	H+	H	H2+	0	0	0	1.150000e-18	1.490000e+00	2.280000e+02	2.000000e+02	3.200000e+04
RA	H2	C+	CH2+	0	0	0	2.000000e-16	-1.300000e+00	2.300000e+01	1.000000e+01	3.000000e+02
RA	H2	C	CH2	0	0	0	1.000000e-17	0.000000e+00	0.000000e+00	1.000000e+01	3.000000e+02
RA	H	C+	CH+	0	0	0	1.700000e-17	0.000000e+00	0.000000e+00	1.000000e+01	3.000000e+02
RA	H	C	CH	0	0	0	1.000000e-17	0.000000e+00	0.000000e+00	1.000000e+01	3.000000e+02
RA	H	O	OH	0	0	0	9.900000e-19	-3.800000e-01	0.000000e+00	1.000000e+01	3.000000e+02
RA	H	OH	H2O	0	0	0	5.260000e-18	-5.220000e+00	9.000000e+01	2.000000e+01	3.000000e+02
RR	C+	e-	C	0	0	0	2.360000e-12	-2.900000e-01	-1.760000e+01	1.000000e+01	4.100000e+04
RR	CH3+	e-	CH3	0	0	0	1.100000e-10	-5.000000e-01	0.000000e+00	1.000000e+01	3.000000e+02
RR	H+	e-	H	0	0	0	3.500000e-12	-7.500000e-01	0.000000e+00	1.000000e+01	2.000000e+04
RR	S+	e-	S	0	0	0	5.490000e-12	-5.900000e-01	0.000000e+00	1.000000e+01	1.000000e+03
# Number of Grain Surface Reactions
0
# List of Grain Surface Reactions
# R1    R2      P1      P2      Ea
 H     H       H2      0       0.0
