# R: 1.000000e+00
# Number density as a function of    z
# 250 species in total
# Species list has 36 lines
#       e-            H            C           CH            O           OH           C2   
#      C2H           CN           C3          C3H           C4          C4H           H2   
#      H2O           O2           CO          CH4          NH3           NO           He   
#      HCO            N          CH2          CH3           NH          NH2           Mg   
#     C2H2          HCN         C2H3           Si           N2          SiH         SiH2   
#     H2CO         SiH3         SiH4        CH3OH            S           HS          H2S   
#     C3H2       CH2CCH       CH3CCH          SiC         HCSi        CH3CN        CH2CO   
#      SiN         HNSi           CS          SiO          CO2          HCS           NS   
#     H2CS           SO          C3N         C4H2         HC3N          C3O          C2S   
#       Fe          SiS          OCS          SO2           S2          C3S           H+   
#       C+          CH+           O+          OH+          C2+         C2H+          CN+   
#      C3+         C3H+          C4+         C4H+          H2+         H2O+          O2+   
#      CO+         CH4+         NH3+          NO+          He+         HCO+           N+   
#     CH2+         CH3+          NH+         NH2+          Mg+        C2H2+         HCN+   
#    C2H3+          Si+          N2+         SiH+        SiH2+        H2CO+        SiH3+   
#    SiH4+       CH3OH+           S+          HS+         H2S+        C3H2+      CH2CCH+   
#  CH3CCH+         SiC+        HCSi+       CH3CN+       CH2CO+         SiN+        HNSi+   
#      CS+         SiO+         CO2+         HCS+          NS+        H2CS+          SO+   
#     C3N+        C4H2+        HC3N+         C3O+         C2S+          Fe+         SiS+   
#     OCS+         SO2+          S2+         C3S+        H[m1]        C[m1]       CH[m1]   
#    O[m1]       OH[m1]       C2[m1]      C2H[m1]       CN[m1]       C3[m1]      C3H[m1]   
#   C4[m1]      C4H[m1]       H2[m1]      H2O[m1]       O2[m1]       CO[m1]      CH4[m1]   
#  NH3[m1]       NO[m1]       He[m1]      HCO[m1]        N[m1]      CH2[m1]      CH3[m1]   
#   NH[m1]      NH2[m1]       Mg[m1]     C2H2[m1]      HCN[m1]     C2H3[m1]       Si[m1]   
#   N2[m1]      SiH[m1]     SiH2[m1]     H2CO[m1]     SiH3[m1]     SiH4[m1]    CH3OH[m1]   
#    S[m1]       HS[m1]      H2S[m1]     C3H2[m1]   CH2CCH[m1]   CH3CCH[m1]      SiC[m1]   
# HCSi[m1]    CH3CN[m1]    CH2CO[m1]      SiN[m1]     HNSi[m1]       CS[m1]      SiO[m1]   
#  CO2[m1]      HCS[m1]       NS[m1]     H2CS[m1]       SO[m1]      C3N[m1]     C4H2[m1]   
# HC3N[m1]      C3O[m1]      C2S[m1]       Fe[m1]      SiS[m1]      OCS[m1]      SO2[m1]   
#   S2[m1]      C3S[m1]          HNC         SiO2      HNC[m1]     SiO2[m1]          H3+   
#     CH5+         NH4+         H3O+        H2NC+        HCNH+        C2H4+         N2H+   
#    H3CO+      CH3OH2+        SiH5+         H3S+         C2N+         CNC+         C2O+   
#    HC2O+        C3H5+      CH3CNH+       CH3CO+        HCO2+        SiOH+        H3CS+   
#     HNS+         HSO+       HC3NH+        HC3O+       C3H2O+       H3C3O+        HC2S+   
#    HSiS+        HOCS+        HSO2+     CH3C3NH+        H2S2+        HC3S+          C7+   
#  gr1(2-)       gr1(-)          gr1       gr1(+)      gr1(2+)   
0.000000e+00 7.028557e-19
2.456284e-06 6.870767e-07 3.724267e-05 1.514402e-02 1.348472e-09 2.274224e-16 6.322502e+03 
3.239440e-16 3.529402e-10 3.561539e-04 1.042345e+06 1.697140e-15 1.612917e-02 9.786142e-08 
4.514427e-13 2.627680e-03 3.677399e-02 1.216335e-10 2.158468e-01 8.353048e-15 7.733247e-09 
4.052279e-14 4.538320e-06 6.841174e-19 8.983988e-12 1.677139e-16 3.513371e-13 1.424023e-12 
6.595234e-11 1.588289e-03 7.839320e-07 2.227884e-07 3.084979e-09 1.639673e-01 4.947301e-07 
1.608051e-12 8.208256e-06 1.313459e-04 1.066386e-03 3.700462e-13 1.270960e-11 1.280178e-05 
1.887415e-18 7.031200e-14 3.339649e-09 6.788016e-14 4.431692e-15 8.459955e-08 6.012728e-20 
9.912015e-02 1.399825e+01 1.032675e+03 1.358654e+01 9.386506e-02 
2.500000e-01 7.084480e-19
4.934032e-05 8.709386e+11 2.119411e-08 3.788484e-11 6.129463e+05 3.966719e-03 1.105550e-11 
5.678439e-12 8.133969e-06 9.047005e-03 2.462542e-02 3.349032e-06 3.179641e-04 2.705287e+14 
2.551918e+11 2.052334e+03 1.661343e+11 8.621964e-01 3.625663e+02 6.974114e+05 5.288778e+13 
7.636791e-11 7.101774e-02 3.215656e-11 2.817482e-01 5.283957e-04 8.781516e-04 5.424385e+06 
2.125755e+05 8.182227e+05 1.301605e-14 3.376085e-04 3.037581e+10 1.076004e-03 4.899888e-04 
9.241879e-09 5.058276e-03 9.799009e-03 7.854342e-01 9.580899e+03 1.075389e-07 7.278705e-12 
1.124054e+03 4.492975e+03 1.071769e+04 1.188815e-11 1.670323e-04 2.224596e-01 9.137022e-08 
7.125369e-03 1.156077e+00 3.462172e+04 9.380763e+05 1.065786e+10 1.018132e-08 2.050333e+00 
5.998189e+05 1.482102e+07 2.269936e+01 1.021976e+07 5.736321e+01 1.120309e+04 6.136932e+01 
1.356097e+06 5.001024e-01 2.304463e-06 1.001965e+10 2.180942e-03 3.913829e-01 5.201484e-09 
5.808816e-08 4.392297e-16 1.396250e-13 1.667229e-11 7.092803e-17 2.155513e-15 2.714425e-16 
2.194030e-17 5.198557e-11 7.516509e-15 5.015318e-13 3.288136e-10 8.830118e-11 1.949023e-07 
6.221644e-12 3.680853e-15 1.191436e-08 1.500317e-07 5.966240e-08 6.012548e-08 8.672945e-12 
7.833710e-15 4.548215e-09 4.244210e-12 1.991767e-11 2.961203e-06 7.002507e-13 4.885315e-16 
1.266227e-11 3.290616e-12 2.140704e-12 1.204330e-17 1.461550e-12 2.924690e-16 1.291524e-12 
3.960033e-24 2.994401e-15 1.287974e-05 5.250365e-11 9.101422e-11 2.003083e-09 1.028321e-10 
1.406368e-05 1.717566e-22 2.903892e-15 6.524639e-23 2.145706e-07 6.191515e-15 1.217141e-20 
2.157231e-15 1.922392e-16 2.988044e-13 5.777418e-05 2.664946e-14 7.923052e-07 1.284537e-04 
4.971622e-20 5.341120e-06 9.160830e-13 1.314354e-18 8.041758e-21 1.373793e-05 1.294072e-17 
3.354579e-16 4.144953e-11 5.458797e-18 1.827455e-14 1.770386e-02 3.516660e-20 2.737782e-24 
3.544753e-15 3.295374e-13 9.887149e-24 3.605380e-23 7.273988e-18 1.484241e-13 2.797286e-12 
9.784650e-16 6.366468e-13 2.723526e+00 2.282698e+04 1.972021e-10 2.807879e-02 1.163462e-13 
4.448364e-04 6.236762e-07 9.847309e-02 4.364021e-19 3.174446e-15 3.742331e-24 5.228825e-14 
8.006328e-15 3.849900e-12 2.888997e+00 6.849099e-06 3.779026e-06 1.129932e-20 1.634522e-14 
1.306165e-03 2.627201e-13 6.006832e-13 4.268435e-20 3.103814e-11 3.002867e-10 1.117392e-07 
1.338001e-09 6.686587e-20 3.031128e-20 6.423045e-07 1.286774e-05 2.264097e-07 1.018539e-20 
1.938783e-17 1.296511e-08 1.204613e-17 6.104787e-12 1.619781e-13 9.267725e-08 8.037135e-04 
1.464735e+00 5.038728e-15 5.488441e-12 2.904008e-05 5.004427e-04 6.631925e-09 1.023449e-01 
2.339251e-06 6.494013e-07 3.510169e-05 1.422649e-02 1.254638e-09 2.194845e-16 5.939076e+03 
1.735474e-14 3.353242e-10 3.575094e-04 1.003853e+06 1.651185e-15 1.505562e-02 9.860997e-08 
4.546442e-13 2.627828e-03 3.691581e-02 1.234031e-10 2.139701e-01 8.409056e-15 7.790078e-09 
4.087287e-14 4.518689e-06 6.918167e-19 9.048811e-12 1.712781e-16 3.542137e-13 1.403740e-12 
6.514702e-11 1.610688e-03 7.733803e-07 2.217654e-07 3.077720e-09 1.636314e-01 4.967337e-07 
1.701713e-12 8.511731e-06 1.305996e-04 1.063444e-03 3.680907e-13 1.264202e-11 1.273275e-05 
1.882926e-18 7.380683e-14 3.363757e-09 6.845733e-14 4.635315e-15 8.480545e-08 5.992617e-20 
9.855592e-02 1.373963e+01 1.000564e+03 1.333009e+01 9.324446e-02 
5.000000e-01 7.424196e-19
0.000000e+00 7.939443e+11 9.169455e-01 3.952493e-11 6.073975e+05 3.630442e-03 1.057256e-11 
5.923887e-12 8.502160e-06 8.333666e-03 2.281050e-02 3.136038e-06 2.995178e-04 2.463184e+14 
2.326452e+11 6.144190e+03 1.515556e+11 7.607798e-01 3.784717e+02 6.973280e+05 4.815487e+13 
7.945192e-11 6.767878e-02 3.349839e-11 2.487804e-01 5.521920e-04 9.179538e-04 4.938959e+06 
1.932588e+05 7.613364e+05 1.355453e-14 3.634185e-04 2.765745e+10 1.010112e-03 4.611746e-04 
9.680238e-09 5.111694e-03 9.419180e-03 7.347823e-01 2.012483e+02 1.166004e-07 7.613906e-12 
1.064117e+03 4.479526e+03 1.065932e+04 1.132957e-11 1.437942e-04 2.093337e-01 9.549429e-08 
6.099124e-03 1.111854e+00 3.445716e+04 8.707588e+05 9.415643e+09 1.136737e-08 2.322630e+00 
5.765770e+05 1.563756e+07 2.108256e+01 9.265958e+06 5.422919e+01 1.057909e+04 5.703620e+01 
1.234740e+06 4.290442e-01 2.304026e-06 9.120825e+09 5.446615e-05 3.795471e-01 5.448807e-09 
6.096170e-08 4.629443e-16 1.422178e-13 1.747594e-11 7.426644e-17 2.248390e-15 2.905189e-16 
2.429682e-17 5.423336e-11 7.839145e-15 5.233215e-13 3.445788e-10 9.259692e-11 1.978757e-07 
