# R: 1.000000e+01
# Number density as a function of    z
# 175 species in total
# Species list has 25 lines
#       e-            H            C           CH            O           OH           C2   
#      C2H           CN           C3          C3H           C4          C4H           H2   
#      H2O           O2           CO          CH4          NH3           NO           He   
#      HCO            N          CH2          CH3           NH          NH2           Mg   
#     C2H2          HCN         C2H3           Si           N2          SiH         SiH2   
#     H2CO         SiH3         SiH4        CH3OH            S           HS          H2S   
#     C3H2       CH2CCH       CH3CCH          SiC         HCSi        CH3CN        CH2CO   
#      SiN         HNSi           CS          SiO          CO2          HCS           NS   
#     H2CS           SO          C3N         C4H2         HC3N          C3O          C2S   
#       Fe          SiS          OCS          SO2           S2          C3S           H+   
#       C+          CH+           O+          OH+          C2+         C2H+          CN+   
#      C3+         C3H+          C4+         C4H+          H2+         H2O+          O2+   
#      CO+         CH4+         NH3+          NO+          He+         HCO+           N+   
#     CH2+         CH3+          NH+         NH2+          Mg+        C2H2+         HCN+   
#    C2H3+          Si+          N2+         SiH+        SiH2+        H2CO+        SiH3+   
#    SiH4+       CH3OH+           S+          HS+         H2S+        C3H2+      CH2CCH+   
#  CH3CCH+         SiC+        HCSi+       CH3CN+       CH2CO+         SiN+        HNSi+   
#      CS+         SiO+         CO2+         HCS+          NS+        H2CS+          SO+   
#     C3N+        C4H2+        HC3N+         C3O+         C2S+          Fe+         SiS+   
#     OCS+         SO2+          S2+         C3S+          HNC         SiO2          H3+   
#     CH5+         NH4+         H3O+        H2NC+        HCNH+        C2H4+         N2H+   
#    H3CO+      CH3OH2+        SiH5+         H3S+         C2N+         CNC+         C2O+   
#    HC2O+        C3H5+      CH3CNH+       CH3CO+        HCO2+        SiOH+        H3CS+   
#     HNS+         HSO+       HC3NH+        HC3O+       C3H2O+       H3C3O+        HC2S+   
#    HSiS+        HOCS+        HSO2+     CH3C3NH+        H2S2+        HC3S+          C7+   
0.000000e+00 1.588320e-17
2.790537e-05 6.498801e-09 4.814207e-11 5.022825e-17 1.823538e-12 2.811278e-09 1.214446e-17 
3.185643e-31 6.605008e-17 9.755331e-06 7.626125e-09 4.473795e-09 8.927325e-07 3.058046e-10 
2.359948e-09 1.715843e-23 6.250419e-17 3.443865e-17 4.661841e-07 3.988767e-15 2.219894e-19 
4.264918e-14 2.637672e-16 2.463907e-11 4.767963e-07 3.117386e-07 1.323793e-06 1.916792e-03 
2.737470e-16 1.234270e-05 6.683193e-11 4.338302e-14 1.283213e-22 5.401510e+01 2.438666e-16 
1.607189e-10 3.094469e-09 2.441580e-08 5.960278e-13 6.955673e-04 3.222968e+03 1.097315e-05 
9.851241e-09 9.250993e-04 1.985690e-03 1.020334e-07 1.180004e-06 6.822594e-08 3.967597e-06 
3.271394e-07 7.867294e-13 1.068838e-19 5.324283e-10 9.604664e-10 5.692486e-11 1.146955e-15 
1.429350e-07 2.548443e-05 5.927360e-11 1.015540e-07 9.455304e-06 4.280623e-06 1.016737e-06 
6.499940e-15 2.865278e-03 4.941261e-06 4.896344e-03 4.135238e-10 1.436154e-06 1.939999e-08 
3.023161e-20 5.950279e-07 1.875381e-03 3.745341e-12 8.350967e-18 7.272242e-13 4.891143e-18 
5.000000e-01 1.652554e-17
3.221872e+02 6.221790e+07 2.696604e-04 7.395133e-08 1.429530e+04 2.091888e-01 1.131845e-04 
1.713951e-06 1.374330e-06 6.406239e-01 5.921681e-03 6.551969e-09 3.438152e-02 4.125322e+11 
1.415720e+03 1.736767e+08 2.060349e+08 4.659696e+04 4.402310e+03 3.372127e+00 8.045002e+10 
6.926659e-05 4.186399e+02 3.371704e-08 5.988244e-07 4.494660e-02 4.598751e-01 7.980604e+03 
3.627363e+02 1.685719e+00 6.886846e-10 1.075446e-08 4.620476e+07 5.320939e-06 3.756029e-16 
4.086649e-01 2.208571e-16 2.869314e-13 1.359011e-07 1.519049e-03 7.733396e-07 1.216188e-06 
2.171799e-04 6.764469e-02 5.989366e+01 4.035134e-15 9.154340e-20 1.185235e-04 2.022663e-01 
5.218899e-07 8.184120e-08 2.085884e+00 1.953939e+01 5.994813e+07 2.504141e-08 2.447967e-08 
3.744397e+00 1.033197e+04 1.159073e+00 7.335866e+05 2.447728e+01 8.958919e+03 1.267700e-06 
2.011352e+03 2.317575e-14 5.686749e+00 1.525453e+07 1.758499e-10 2.695796e-06 3.039694e-07 
1.703970e-06 3.210340e-14 5.811720e-10 9.776134e-10 5.222360e-14 2.295371e-12 1.549064e-17 
3.260425e-13 7.640066e-10 8.296831e-12 5.418417e-11 7.702535e-09 1.541594e-09 6.582915e-04 
9.271314e-10 3.312028e-12 1.362110e-06 3.910545e-07 1.386963e-06 2.367358e-02 3.885732e-10 
9.194127e-13 1.492749e-07 9.881965e-11 4.686707e-10 2.706794e+02 2.793641e-08 2.478984e-15 
2.721881e-05 6.832087e-09 4.970576e-11 5.276656e-17 1.916744e-12 2.747406e-09 1.218569e-17 
3.290824e-31 6.504691e-17 1.013806e-05 7.449084e-09 4.356661e-09 8.562817e-07 3.119796e-10 
2.362252e-09 1.876357e-23 6.528862e-17 3.559433e-17 4.475466e-07 4.273883e-15 2.474343e-19 
4.556954e-14 2.729405e-16 2.585875e-11 4.669710e-07 3.107457e-07 1.271391e-06 1.890068e-03 
2.867670e-16 1.197940e-05 6.771784e-11 4.357150e-14 1.504817e-22 5.146932e+01 2.615282e-16 
1.617511e-10 3.184929e-09 2.481865e-08 6.211453e-13 6.681149e-04 2.934420e+03 1.130777e-05 
1.023010e-08 9.121390e-04 1.953031e-03 1.034956e-07 1.149776e-06 6.655339e-08 4.086234e-06 
3.205947e-07 7.879277e-13 1.024952e-19 4.887402e-10 9.619752e-10 5.698030e-11 1.174400e-15 
1.415088e-07 2.470386e-05 5.881937e-11 9.938120e-08 9.944685e-06 4.107279e-06 1.009728e-06 
6.605034e-15 2.850330e-03 4.782830e-06 4.571761e-03 4.085255e-10 1.332100e-06 1.963680e-08 
3.449418e-20 6.132472e-07 1.847929e-03 3.733358e-12 8.315561e-18 7.465650e-13 4.979416e-18 
7.500000e-01 1.762371e-17
2.986840e+02 5.953568e+07 3.959473e-07 7.588456e-08 1.360676e+04 2.209539e-01 1.071896e-04 
1.782738e-06 1.422869e-06 5.668523e-01 5.491961e-03 6.576182e-09 3.189707e-02 3.528544e+11 
1.258663e+03 1.475793e+08 1.744851e+08 3.973715e+04 4.011532e+03 3.260204e+00 6.881255e+10 
6.239002e-05 3.961094e+02 3.133095e-08 6.290076e-07 4.332317e-02 4.418323e-01 6.806738e+03 
3.199157e+02 1.491972e+00 6.873322e-10 7.949423e-09 3.952089e+07 5.109725e-06 3.748705e-16 
3.662697e-01 2.045894e-16 2.492681e-13 1.269077e-07 1.637128e-03 7.207955e-07 1.049132e-06 
2.077263e-04 6.290388e-02 5.254686e+01 4.287202e-15 9.152228e-20 1.083478e-04 1.808981e-01 
4.981974e-07 6.947696e-08 1.942883e+00 1.691302e+01 5.312330e+07 2.273174e-08 2.335415e-08 
3.435236e+00 9.480418e+03 1.012135e+00 6.024307e+05 2.140155e+01 7.411095e+03 1.272717e-06 
1.716738e+03 2.742006e-14 5.549626e+00 1.304725e+07 1.884872e-10 2.603331e-06 3.220784e-07 
1.795235e-06 3.425587e-14 6.149401e-10 1.034465e-09 5.413548e-14 2.357232e-12 1.716217e-17 
3.357899e-13 7.964886e-10 8.517671e-12 5.583149e-11 8.214376e-09 1.631288e-09 6.445910e-04 
1.000990e-09 3.896730e-12 1.445267e-06 3.896598e-07 1.483151e-06 2.386565e-02 4.155249e-10 
9.701527e-13 1.582544e-07 1.056741e-10 5.011923e-10 2.509592e+02 3.003339e-08 2.781847e-15 
2.617125e-05 7.602119e-09 5.315311e-11 5.861330e-17 2.133897e-12 2.659981e-09 1.248754e-17 
3.550799e-31 6.416135e-17 1.099753e-05 7.240106e-09 4.213282e-09 7.993891e-07 3.247070e-10 
2.379203e-09 2.217614e-23 7.119793e-17 3.787206e-17 4.188695e-07 4.928665e-15 3.054444e-19 
5.151436e-14 2.927120e-16 2.864972e-11 4.534723e-07 3.117970e-07 1.191273e-06 1.861520e-03 
3.134224e-16 1.141080e-05 6.962098e-11 4.448514e-14 2.008119e-22 4.768675e+01 3.006721e-16 
1.649753e-10 3.382058e-09 2.577794e-08 6.740817e-13 6.266679e-04 2.509743e+03 1.204052e-05 
1.104389e-08 8.996093e-04 1.914408e-03 1.071797e-07 1.105757e-06 6.400223e-08 4.345619e-06 
3.117979e-07 8.011026e-13 9.698274e-20 4.255469e-10 9.714617e-10 5.740049e-11 1.243726e-15 
1.396693e-07 2.350636e-05 5.833754e-11 9.633795e-08 1.107293e-05 3.854738e-06 1.007484e-06 
6.853156e-15 2.844295e-03 4.539231e-06 4.108199e-03 4.012055e-10 1.170054e-06 2.026530e-08 
4.444694e-20 6.516505e-07 1.818256e-03 3.732906e-12 8.371986e-18 7.842893e-13 5.132920e-18 
1.000000e+00 1.973879e-17
2.705413e+02 5.662649e+07 1.032704e-03 7.912214e-08 1.281452e+04 2.437050e-01 9.914605e-05 
1.899012e-06 1.509968e-06 4.738398e-01 4.923197e-03 6.625646e-09 2.860651e-02 2.835221e+11 
1.081402e+03 1.171210e+08 1.375768e+08 3.156267e+04 3.555875e+03 3.167594e+00 5.529243e+10 
5.401494e-05 3.688622e+02 2.817967e-08 6.851462e-07 4.178094e-02 4.242337e-01 5.443682e+03 
2.664316e+02 1.254851e+00 6.838964e-10 1.505604e-07 3.175573e+07 4.900590e-06 3.876462e-16 
3.150296e-01 1.897412e-16 2.096354e-13 1.175026e-07 1.878096e-03 6.518847e-07 8.609800e-07 
1.936995e-04 5.689776e-02 4.343309e+01 4.774923e-15 9.230053e-20 9.517038e-05 1.547876e-01 
4.724474e-07 5.502549e-08 1.760419e+00 1.386773e+01 4.546058e+07 1.977192e-08 2.208922e-08 
3.073315e+00 8.428416e+03 8.300745e-01 4.471205e+05 1.760421e+01 5.700130e+03 1.298904e-06 
1.374589e+03 3.672664e-14 5.403909e+00 1.048295e+07 2.050406e-10 2.466912e-06 3.564160e-07 
1.965100e-06 3.816685e-14 6.787120e-10 1.141837e-09 5.851480e-14 2.453495e-12 2.026593e-17 
3.590192e-13 8.516374e-10 8.857536e-12 5.846867e-11 9.200184e-09 1.800698e-09 6.322577e-04 
1.146264e-09 5.076749e-12 1.608514e-06 3.923445e-07 1.669634e-06 2.449888e-02 4.677779e-10 
1.064253e-12 1.752691e-07 1.189633e-10 5.642453e-10 2.273372e+02 3.362898e-08 3.358041e-15 
2.477684e-05 9.246158e-09 5.983665e-11 7.104885e-17 2.600390e-12 2.570829e-09 1.342502e-17 
4.128449e-31 6.433599e-17 1.272005e-05 7.097576e-09 4.102736e-09 7.242429e-07 3.461634e-10 
2.423881e-09 2.892877e-23 8.240065e-17 4.157601e-17 3.816388e-07 6.351144e-15 4.334631e-19 
6.241157e-14 3.305611e-16 3.435202e-11 4.384776e-07 3.175380e-07 1.088046e-06 1.849154e-03 
3.610657e-16 1.064061e-05 7.284075e-11 4.678996e-14 3.122356e-22 4.316597e+01 3.809476e-16 
1.720989e-10 3.758212e-09 2.761673e-08 7.716220e-13 5.753490e-04 2.016357e+03 1.344682e-05 
1.259741e-08 8.978333e-04 1.887666e-03 1.148148e-07 1.052776e-06 6.060675e-08 4.842119e-06 
3.029290e-07 8.415894e-13 9.258463e-20 3.535618e-10 9.945173e-10 5.845154e-11 1.387547e-15 
1.374473e-07 2.193860e-05 5.789168e-11 9.299938e-08 1.340590e-05 3.566240e-06 1.021705e-06 
7.347667e-15 2.866112e-03 4.220608e-06 3.575719e-03 3.910580e-10 9.642564e-07 2.155145e-08 
6.759898e-20 7.202804e-07 1.804310e-03 3.754448e-12 8.672069e-18 8.434797e-13 5.319934e-18 
1.250000e+00 2.338753e-17
2.397958e+02 5.371970e+07 2.902374e-03 8.274417e-08 1.195753e+04 2.817267e-01 8.834677e-05 
2.051059e-06 1.630950e-06 3.688538e-01 4.212787e-03 6.622102e-09 2.449165e-02 2.140083e+11 
9.066460e+02 8.668078e+07 1.007510e+08 2.324440e+04 3.076987e+03 3.132171e+00 4.173692e+10 
4.490048e-05 3.364648e+02 2.423762e-08 7.749300e-07 4.056052e-02 4.096844e-01 4.079197e+03 
2.066513e+02 9.969784e-01 6.650796e-10 3.118678e-07 2.397026e+07 4.721434e-06 4.265799e-16 
